 255 255 255
  46   6  70
  52   7  80
  61   9  97
  72  11 118
  84  13 141
  95  15 164
 104  17 185
 110  19 201
 112  20 212
 111  20 215
 105  20 211
  97  19 201
  86  17 184
  73  15 164
  61  13 141
  49  11 117
  38   9  97
  31   7  80
  25   6  70
  23   6  66
  23   6  70
  25   7  80
  29   9  97
  33  11 118
  37  13 141
  41  15 164
  43  17 185
  44  19 201
  42  20 212
  40  20 215
  35  20 211
  30  19 201
  25  17 184
  19  15 164
  14  13 141
  11  12 118
   9  11  97
   7  10  80
   6  10  70
   6  11  66
   6  12  70
   7  16  80
   9  21  97
  11  27 117
  13  35 141
  15  43 164
  17  52 184
  19  60 201
  20  67 211
  20  71 215
  20  74 212
  19  73 201
  17  70 185
  15  65 164
  13  58 141
  11  51 118
   9  43  97
   7  37  80
   6  33  70
   6  33  66
   6  36  70
   7  42  80
   9  53  97
  11  66 117
  13  81 141
  15  97 164
  17 113 184
  19 126 201
  20 136 211
  20 142 215
  20 144 212
  19 140 201
  17 131 185
  15 119 164
  13 105 141
  11  89 118
   9  75  97
   7  64  80
   6  57  70
   6  55  66
   6  59  70
   7  69  80
   9  85  97
  11 105 117
  13 128 141
  15 152 164
  17 174 184
  19 193 201
  20 206 211
  20 214 215
  20 212 210
  19 201 196
  17 185 177
  15 164 154
  13 141 130
  11 118 107
   9  97  86
   7  80  70
   6  70  60
   6  66  56
   6  70  57
   7  80  65
   9  97  76
  11 117  91
  13 141 107
  15 164 121
  17 184 134
  19 201 142
  20 211 147
  20 215 146
  20 212 140
  19 201 129
  17 185 116
  15 164 100
  13 141  83
  11 118  68
   9  97  54
   7  80  44
   6  70  37
   6  66  34
   6  70  34
   7  80  38
   9  97  44
  11 117  52
  13 141  60
  15 164  67
  17 184  73
  19 201  76
  20 211  77
  20 215  74
  20 212  70
  19 201  63
  17 185  55
  15 164  46
  13 141  37
  11 118  29
   9  97  22
   7  80  17
   6  70  13
   6  66  12
   6  70  11
   7  80  12
   9  97  12
  11 117  13
  13 141  14
  17 164  15
  22 184  17
  27 201  19
  32 211  20
  36 215  20
  39 212  20
  41 201  19
  40 185  17
  39 164  15
  35 141  13
  31 118  11
  27  97   9
  24  80   7
  22  70   6
  22  66   6
  24  70   6
  29  80   7
  37  97   9
  47 117  11
  59 141  13
  71 164  15
  83 184  17
  94 201  19
 102 211  20
 108 215  20
 109 212  20
 107 201  19
 101 185  17
  93 164  15
  82 141  13
  70 118  11
  60  97   9
  51  80   7
  45  70   6
  44  66   6
  47  70   6
  56  80   7
  69  97   9
  86 117  11
 105 141  13
 125 164  15
 144 184  17
 160 201  19
 172 211  20
 179 215  20
 179 212  20
 174 201  19
 163 185  17
 147 164  15
 128 141  13
 109 118  11
  92  97   9
  77  80   7
  68  70   6
  66  66   6
  70  69   6
  80  78   7
  97  92   9
 117 110  11
 141 129  13
 164 148  15
 184 164  17
 201 175  19
 211 181  20
 215 180  20
 212 174  20
 201 162  19
 185 146  17
 164 127  15
 141 106  13
 118  87  11
  97  70   9
  80  57   7
  70  48   6
  66  44   6
  70  46   6
  80  51   7
  97  60   9
 117  71  11
 141  83  13
 164  94  15
 184 103  17
 201 109  19
 211 111  20
 215 109  20
 212 104  20
 201  95  19
 185  85  17
 164  72  15
 141  60  13
 118  48  11
  97  38   9
  80  30   7
  70  25   6
  66  22   6
  70  22   6
  80  25   7
  97  28   9
 117  32  11
 141  36  13
 164  40  15
 184  42  17
 201  42  19
 211  41  20
 215  38  20
 212  34  20
 201  29  19
 185  23  17
 164  18  15
   0   0   0
