   0   0   0
  10  10   0
  14  14   0
  18  18   0
  20  20   0
  23  23   0
  26  26   0
  28  28   0
  30  30   0
  31  31   0
  33  33   0
  34  34   0
  36  36   0
  38  38   0
  39  39   0
  40  40   0
  42  42   1
  43  43   1
  45  45   1
  46  46   1
  47  47   1
  49  49   1
  49  49   1
  51  51   2
  52  52   2
  53  53   2
  54  54   2
  55  55   2
  57  57   3
  57  57   3
  59  59   3
  59  59   3
  61  61   4
  62  62   4
  63  63   4
  64  64   4
  65  65   5
  66  66   5
  67  67   5
  67  67   5
  68  68   6
  70  70   6
  70  70   6
  71  71   7
  72  72   7
  73  73   7
  74  74   8
  75  75   8
  76  76   9
  77  77   9
  77  77   9
  79  79  10
  80  80  10
  81  81  11
  81  81  11
  82  82  11
  83  83  12
  84  84  12
  85  85  13
  85  85  13
  86  86  14
  87  87  14
  88  88  15
  89  89  15
  90  90  16
  90  90  16
  91  91  17
  92  92  17
  93  93  18
  94  94  18
  95  95  19
  95  95  19
  96  96  20
  97  97  20
  98  98  21
  99  99  22
 100 100  22
 101 101  23
 101 101  23
 102 102  24
 103 103  25
 103 103  25
 104 104  26
 105 105  27
 106 106  27
 107 107  28
 108 108  29
 108 108  29
 109 109  30
 110 110  31
 111 111  31
 112 112  32
 113 113  33
 113 113  33
 114 114  34
 115 115  35
 116 116  36
 116 116  36
 117 117  37
 118 118  38
 119 119  39
 120 120  40
 120 120  40
 121 121  41
 122 122  42
 123 123  43
 124 124  44
 124 124  44
 125 125  45
 126 126  46
 127 127  47
 128 128  48
 128 128  49
 129 129  50
 130 130  50
 131 131  51
 131 131  52
 132 132  53
 133 133  54
 134 134  55
 134 134  56
 135 135  57
 136 136  58
 137 137  59
 138 138  60
 139 139  61
 140 140  62
 140 140  63
 141 141  64
 142 142  65
 143 143  66
 143 143  67
 144 144  68
 145 145  69
 146 146  70
 147 147  71
 148 148  72
 148 148  73
 149 149  74
 150 150  75
 150 150  76
 151 151  77
 153 153  79
 153 153  80
 154 154  81
 155 155  82
 155 155  83
 156 156  84
 157 157  85
 158 158  87
 159 159  88
 160 160  89
 160 160  90
 161 161  91
 163 163  93
 163 163  94
 164 164  95
 165 165  96
 165 165  97
 167 167  99
 167 167 100
 168 168 101
 169 169 102
 170 170 104
 171 171 105
 172 172 106
 172 172 108
 173 173 109
 174 174 110
 175 175 112
 176 176 113
 176 176 114
 178 178 116
 179 179 117
 179 179 118
 180 180 120
 181 181 121
 182 182 122
 183 183 124
 183 183 125
 185 185 127
 185 185 128
 186 186 129
 187 187 131
 188 188 132
 189 189 134
 189 189 135
 191 191 137
 191 191 138
 192 192 140
 193 193 141
 194 194 143
 195 195 144
 196 196 146
 197 197 147
 197 197 149
 198 198 150
 200 200 152
 200 200 153
 201 201 155
 202 202 156
 203 203 158
 204 204 160
 205 205 161
 206 206 163
 206 206 164
 208 208 166
 208 208 168
 209 209 169
 210 210 171
 211 211 172
 212 212 174
 213 213 176
 214 214 177
 215 215 179
 216 216 181
 216 216 182
 218 218 184
 218 218 186
 220 220 188
 220 220 189
 221 221 191
 222 222 193
 223 223 195
 224 224 196
 225 225 198
 226 226 200
 227 227 202
 228 228 203
 229 229 205
 230 230 207
 231 231 209
 232 232 211
 232 232 212
 234 234 214
 234 234 216
 236 236 218
 236 236 220
 238 238 222
 238 238 224
 239 239 225
 240 240 227
 241 241 229
 242 242 231
 243 243 233
 244 244 235
 245 245 237
 246 246 239
 247 247 241
 248 248 243
 249 249 245
 250 250 247
 251 251 249
 252 252 251
 253 253 253
 255 255 255
